[0.099492, 0.099705, 0.098689, 0.097423, 0.096933, 0.097693, 0.099172, 0.099878]
[0.100123, 0.100337, 0.099318, 0.098031, 0.097538, 0.098311, 0.099799, 0.10052]
[0.10075, 0.100981, 0.099948, 0.098648, 0.098142, 0.098919, 0.100419, 0.101157]
[0.101368, 0.101613, 0.10058, 0.09927, 0.098754, 0.099534, 0.101049, 0.101787]
[0.101979, 0.102235, 0.101217, 0.099895, 0.099373, 0.100141, 0.10165, 0.10241]
[0.102599, 0.102863, 0.101844, 0.100523, 0.099986, 0.100752, 0.10227, 0.103039]
[0.103207, 0.103492, 0.102484, 0.101138, 0.100581, 0.101332, 0.102869, 0.103664]
[0.103837, 0.104125, 0.103105, 0.101752, 0.101208, 0.101963, 0.103506, 0.104295]
[0.104456, 0.104739, 0.103719, 0.102373, 0.101824, 0.102573, 0.10412, 0.104918]
[0.10507, 0.10536, 0.104351, 0.103003, 0.10244, 0.103175, 0.104729, 0.105532]
[0.105716, 0.106016, 0.104997, 0.103643, 0.103074, 0.10381, 0.105374, 0.106188]
[0.10638, 0.106662, 0.105639, 0.104283, 0.10373, 0.104478, 0.106035, 0.106838]
[0.107037, 0.107291, 0.106243, 0.104902, 0.104378, 0.105163, 0.106713, 0.107477]
[0.107696, 0.107919, 0.106855, 0.105535, 0.105028, 0.10583, 0.107376, 0.108108]
[0.108355, 0.108536, 0.107452, 0.106144, 0.105671, 0.106504, 0.108051, 0.108747]
[0.109017, 0.109199, 0.108112, 0.106809, 0.106351, 0.107177, 0.108712, 0.109407]
[0.109687, 0.109853, 0.108747, 0.107439, 0.106973, 0.107828, 0.109383, 0.110079]
[0.110354, 0.110521, 0.109402, 0.108073, 0.107616, 0.108479, 0.110052, 0.11075]
[0.111006, 0.111164, 0.110013, 0.108674, 0.108219, 0.109101, 0.110695, 0.111403]
[0.111653, 0.111836, 0.110694, 0.109322, 0.108834, 0.109708, 0.11133, 0.112077]
[0.112308, 0.112531, 0.111386, 0.10998, 0.109469, 0.110325, 0.111971, 0.112749]
[0.112937, 0.113179, 0.112031, 0.110595, 0.11005, 0.110908, 0.112585, 0.113395]
[0.11355, 0.113844, 0.112699, 0.111228, 0.110635, 0.111468, 0.113178, 0.11405]
[0.114181, 0.114521, 0.113373, 0.111857, 0.111208, 0.112034, 0.113777, 0.114699]
[0.114838, 0.115193, 0.114032, 0.112489, 0.11183, 0.11266, 0.114428, 0.115379]
[0.115506, 0.115866, 0.114697, 0.113141, 0.112463, 0.113303, 0.115089, 0.11605]
[0.116196, 0.116558, 0.115375, 0.113796, 0.113106, 0.113963, 0.115781, 0.116745]
[0.116859, 0.117199, 0.116001, 0.114428, 0.113764, 0.114624, 0.116443, 0.117394]
[0.117547, 0.117858, 0.116637, 0.115067, 0.114431, 0.115326, 0.117143, 0.118065]
[0.11823, 0.118511, 0.117285, 0.115722, 0.115109, 0.11602, 0.117828, 0.118728]
[0.118995, 0.119248, 0.118009, 0.11646, 0.115864, 0.116786, 0.118602, 0.119476]
[0.119726, 0.119948, 0.118686, 0.117164, 0.11661, 0.117555, 0.119345, 0.120172]
[0.120435, 0.120643, 0.119381, 0.117859, 0.117329, 0.118272, 0.120059, 0.120879]
[0.120998, 0.121291, 0.120062, 0.118499, 0.117864, 0.118769, 0.12061, 0.12153]
[0.121863, 0.122078, 0.120801, 0.119259, 0.118703, 0.119665, 0.121481, 0.122322]
[0.122591, 0.122805, 0.121518, 0.11997, 0.119415, 0.120393, 0.122211, 0.123045]
[0.123283, 0.1235, 0.122214, 0.120651, 0.120103, 0.121069, 0.122899, 0.123754]
[0.12399, 0.124215, 0.122908, 0.121324, 0.120767, 0.121747, 0.123598, 0.124471]
[0.124683, 0.12493, 0.123617, 0.122004, 0.121433, 0.12241, 0.124292, 0.125185]
[0.12535, 0.125642, 0.124314, 0.122666, 0.122045, 0.123007, 0.124922, 0.125879]
[0.126001, 0.126331, 0.124999, 0.123309, 0.122644, 0.123604, 0.125562, 0.126566]
[0.126696, 0.127066, 0.125745, 0.124035, 0.123329, 0.124264, 0.126242, 0.127286]
[0.127326, 0.12771, 0.126361, 0.124609, 0.123887, 0.124842, 0.126882, 0.12794]
[0.127965, 0.128365, 0.127006, 0.125224, 0.12447, 0.125438, 0.1275, 0.128591]
[0.128642, 0.129057, 0.1277, 0.125895, 0.125112, 0.126071, 0.128177, 0.129293]
[0.129321, 0.129736, 0.128361, 0.126553, 0.125753, 0.12673, 0.128857, 0.129985]
[0.130128, 0.130535, 0.129161, 0.127339, 0.126542, 0.127526, 0.129645, 0.130764]
[0.130867, 0.131226, 0.129818, 0.128018, 0.127267, 0.128286, 0.130403, 0.131474]
[0.13162, 0.13193, 0.130483, 0.128703, 0.128006, 0.129058, 0.131167, 0.132194]
[0.132398, 0.132655, 0.131189, 0.129422, 0.12878, 0.129874, 0.131968, 0.132938]
[0.133197, 0.13343, 0.131954, 0.130211, 0.129595, 0.130698, 0.132766, 0.133717]
[0.134037, 0.134254, 0.132779, 0.131048, 0.130442, 0.131553, 0.133605, 0.134533]
[0.134785, 0.13502, 0.133546, 0.131803, 0.131191, 0.132279, 0.134343, 0.135285]
[0.135516, 0.13577, 0.134302, 0.132542, 0.131894, 0.132975, 0.135052, 0.136039]
[0.136307, 0.136595, 0.135132, 0.133334, 0.132668, 0.133729, 0.135845, 0.136861]
[0.136987, 0.13731, 0.135828, 0.133996, 0.133288, 0.134356, 0.136511, 0.137574]
[0.13763, 0.138003, 0.13652, 0.134626, 0.133852, 0.134915, 0.137138, 0.138264]
[0.138208, 0.13866, 0.137185, 0.135229, 0.134373, 0.135417, 0.13769, 0.138909]
[0.138753, 0.139256, 0.137764, 0.135745, 0.134825, 0.135866, 0.138222, 0.139505]
[0.139452, 0.139984, 0.138488, 0.136451, 0.135508, 0.136533, 0.138912, 0.140226]
[0.140187, 0.140704, 0.139197, 0.137152, 0.136208, 0.137255, 0.139645, 0.140943]
[0.140905, 0.14138, 0.139838, 0.137793, 0.136875, 0.137961, 0.140368, 0.141641]
[0.141735, 0.142201, 0.140654, 0.138625, 0.137732, 0.138822, 0.141204, 0.14245]
[0.142662, 0.143066, 0.141502, 0.139526, 0.138696, 0.139802, 0.142152, 0.143322]
[0.143512, 0.143859, 0.142289, 0.140333, 0.139564, 0.140693, 0.143015, 0.144142]
[0.14435, 0.14467, 0.143082, 0.141153, 0.14042, 0.141567, 0.143858, 0.144948]
[0.14512, 0.145407, 0.14382, 0.141894, 0.141179, 0.142353, 0.144647, 0.145701]
