[0.978927, 0.978724, 0.979501, 0.980509, 0.98096, 0.980401, 0.979195, 0.978587]
[0.978329, 0.978106, 0.978896, 0.97993, 0.980403, 0.979843, 0.978604, 0.97797]
[0.977713, 0.97747, 0.97827, 0.979329, 0.97982, 0.979264, 0.978003, 0.977339]
[0.977098, 0.976842, 0.977658, 0.978751, 0.979267, 0.978698, 0.9774, 0.976709]
[0.976464, 0.976199, 0.977035, 0.978151, 0.97868, 0.978108, 0.976776, 0.976065]
[0.975821, 0.975547, 0.976406, 0.977554, 0.978098, 0.977508, 0.976144, 0.975415]
[0.975179, 0.974901, 0.97578, 0.976951, 0.977503, 0.976904, 0.975512, 0.97477]
[0.97453, 0.974262, 0.975167, 0.976357, 0.976908, 0.976286, 0.974868, 0.974124]
[0.973868, 0.973603, 0.974543, 0.975762, 0.976318, 0.975667, 0.974213, 0.973458]
[0.973202, 0.972944, 0.973916, 0.975164, 0.975725, 0.975044, 0.97355, 0.972793]
[0.972517, 0.97226, 0.973268, 0.974555, 0.975125, 0.974418, 0.972879, 0.9721]
[0.971916, 0.971677, 0.972723, 0.974035, 0.974599, 0.973859, 0.972265, 0.97148]
[0.971153, 0.970912, 0.97198, 0.973312, 0.973881, 0.97312, 0.971509, 0.970728]
[0.970418, 0.970191, 0.971292, 0.972655, 0.973223, 0.972427, 0.970785, 0.969998]
[0.969712, 0.969484, 0.97061, 0.972001, 0.972581, 0.971763, 0.970081, 0.969285]
[0.969016, 0.968783, 0.969929, 0.971349, 0.971939, 0.971098, 0.969385, 0.968578]
[0.968315, 0.96807, 0.969233, 0.970681, 0.971287, 0.970437, 0.968696, 0.967866]
[0.967618, 0.967355, 0.968527, 0.970002, 0.970627, 0.969775, 0.968004, 0.967152]
[0.96692, 0.966639, 0.967807, 0.969297, 0.969937, 0.96909, 0.96731, 0.966433]
[0.966213, 0.965916, 0.967092, 0.9686, 0.969258, 0.968415, 0.966614, 0.965714]
[0.965522, 0.965195, 0.966375, 0.967914, 0.968607, 0.967771, 0.965938, 0.964998]
[0.964805, 0.964476, 0.965676, 0.967239, 0.967936, 0.967084, 0.965223, 0.964272]
[0.964089, 0.963752, 0.964964, 0.966538, 0.967243, 0.966389, 0.964509, 0.963547]
[0.963373, 0.963021, 0.964232, 0.965816, 0.96654, 0.965695, 0.963801, 0.962819]
[0.962609, 0.962244, 0.963469, 0.965075, 0.965816, 0.964968, 0.963048, 0.962044]
[0.961827, 0.96148, 0.962728, 0.964347, 0.965079, 0.964204, 0.962268, 0.96127]
[0.961046, 0.960733, 0.962008, 0.963619, 0.964317, 0.963414, 0.961475, 0.96051]
[0.960259, 0.959986, 0.961287, 0.962897, 0.963561, 0.962622, 0.960679, 0.959749]
